AptName,Spine_vs_Laparoscopic,Spine_vs_HeadNeck,Laparoscopic_vs_HeadNeck,AveExpr,F,P.Value,adj.P.Val,Target,EntrezGeneSymbol
seq.25235.2,-0.6656400730206109,-0.005070607491362872,0.660569465529248,-0.013676068866632196,11.225889744938632,0.0013453319202861751,0.6151670518130434,DPH7,DPH7
seq.11241.8,-0.5385904199071291,-0.044642679071289396,0.4939477408358397,0.03323345231606215,9.42861371256984,0.002739062249795718,0.6151670518130434,ARLY,ASL
seq.3799.11,-1.432417444263139,0.3985999349799161,1.831017379243055,0.1487240854345869,9.177737195093137,0.003043763058988839,0.6151670518130434,Carbonic anhydrase III,CA3
seq.15526.33,-1.0517972614688904,-0.019610292056281314,1.0321869694126091,0.18093275241757878,8.653155015401763,0.003815709957738287,0.6151670518130434,GSHB,GSS
seq.21290.66,-1.2368556861351538,-0.08330576130366978,1.153549924831484,0.23692789344006662,8.56995453986798,0.003957775466357764,0.6151670518130434,HUS1,HUS1
seq.10752.8,1.0696054419656584,0.09086572805403961,-0.9787397139116188,-0.13974498803824797,8.18659515989944,0.004696056069066986,0.6151670518130434,CDYL2,CDYL2
seq.3364.76,0.9180490458328325,0.1356667916583219,-0.7823822541745107,-0.23184636089274457,8.105920765088186,0.004870885674960652,0.6151670518130434,Cathepsin V,CTSV
seq.13986.6,-0.9604836168341752,-0.1093727935950769,0.8511108232390983,-0.08934094163665247,7.758730416246684,0.00571379600143742,0.6151670518130434,LANC1,LANCL1
seq.3894.15,-1.5595877172885388,-0.18584410129250634,1.3737436159960326,0.29620121529763593,7.609585317905369,0.0061265010446620955,0.6151670518130434,NAGK,NAGK
seq.3522.57,-0.592389376429721,0.07217198106975672,0.6645613574994778,-0.024340749437308535,7.540903653723382,0.006327993997490627,0.6151670518130434,Vasoactive Intestinal Peptide,VIP
seq.8449.103,-0.5918585480970786,-0.01734881250689542,0.5745097355901831,0.07012295497296805,7.5345792590599086,0.006346927566018713,0.6151670518130434,EXE4_HELSU,
seq.12333.87,-1.8059648061923212,-0.07159128980987084,1.7343735163824503,0.2556879727408625,7.1572439459031,0.007603861141191948,0.6151670518130434,RPIA,RPIA
seq.11381.56,-0.887573325236232,-0.11430053246761537,0.7732727927686166,0.022238494155588057,7.133495040216686,0.007692083421241287,0.6151670518130434,PRPS1,PRPS1
seq.25245.22,-0.991472637951831,-0.004434994364804892,0.9870376435870262,0.1431907442419519,7.036596797589009,0.008064432033444358,0.6151670518130434,RIC8A,RIC8A
seq.25482.5,-0.6496382587448795,0.009513977269550389,0.65915223601443,-0.0277953501729639,7.015687153556402,0.008147471171474813,0.6151670518130434,NFIA,NFIA
seq.12483.62,-0.28948234340431356,0.1339948931029376,0.42347723650725116,2.9767368217026302e-5,7.009864747214986,0.008170768334513245,0.6151670518130434,RORB,RORB
seq.23664.17,0.5330595998741824,-0.1268436172500179,-0.6599032171242003,0.03555741576977919,6.717751000342296,0.009444108511736417,0.6151670518130434,RTKN,RTKN
seq.4396.54,-0.6934915886633691,0.04320316724674436,0.7366947559101135,-0.020203588410752538,6.698986526081681,0.009533400909864008,0.6151670518130434,IFN-lambda 1,IFNL1
seq.6603.18,0.6069457215608614,-0.0878192055992847,-0.694764927160146,-0.06477688315562243,6.6339512953657715,0.009850465342622917,0.6151670518130434,KALM,ANOS1
seq.18175.65,-0.7760074094048255,0.09279218041896548,0.868799589823791,0.1867581308365307,6.509657697512193,0.010490725653010218,0.6151670518130434,VAT1,VAT1
seq.10047.12,-1.0467539312259924,-0.012745275841355583,1.0340086553846368,0.2140647398629798,6.501997999752399,0.010531719861820438,0.6151670518130434,NCF-2,NCF2
